
49,4956
49,4956
49,4956
51,5159
27,2736
49,4956
49,4956
26,2688
49,4956
26,2688
26,2688
27,2688
27,2688
27,2688
27,2688
27,2688
27,2688
27,2688
27,2688
27,2688
27,2688
28,2703
27,2688
50,4956
28,2730
28,2730
33,3239
33,3239
33,3239
25,2457
25,2457
25,2457
25,2457
33,3239
33,3239
33,3239
25,2457
25,2457
25,2457
25,2457
25,2457
25,2457
25,2457
25,2457
25,2457
25,2457
25,2457
56,6090
25,2457
27,2710
28,2703
25,2457
25,2457
28,2703
28,2703
25,2457
27,2710
56,6090
25,2457
